variant_id,variant_title,symbol,initial_capital,final_equity,net_profit,return_percent,trade_count,win_rate,profit_factor,max_drawdown_percent,average_holding_bars,max_consecutive_losses
full_v02,完整多来源增强版,DIA,100000.00,105494.36,5494.36,5.49,70,41.43,1.28,4.15,10.17,9
full_v02,完整多来源增强版,VTI,100000.00,91789.04,-8210.96,-8.21,87,29.89,0.72,9.73,8.91,10
full_v02,完整多来源增强版,VOO,100000.00,96399.21,-3600.79,-3.60,90,33.33,0.88,8.05,8.94,15
full_v02,完整多来源增强版,IVV,100000.00,98765.46,-1234.54,-1.23,93,34.41,0.96,6.83,8.60,14
full_v02,完整多来源增强版,XLK,100000.00,95573.87,-4426.13,-4.43,101,34.65,0.86,13.06,9.65,11
full_v02,完整多来源增强版,XLF,100000.00,95220.01,-4779.99,-4.78,63,34.92,0.75,6.39,9.63,10
full_v02,完整多来源增强版,XLE,100000.00,99231.74,-768.26,-0.77,69,36.23,0.96,6.39,9.06,10
full_v02,完整多来源增强版,XLV,100000.00,103936.83,3936.83,3.94,68,38.24,1.20,4.29,10.68,9
full_v02,完整多来源增强版,XLY,100000.00,109020.17,9020.17,9.02,76,43.42,1.46,2.32,9.33,4
full_v02,完整多来源增强版,XLI,100000.00,102013.36,2013.36,2.01,63,39.68,1.11,6.64,8.56,9
full_v02,完整多来源增强版,XLP,100000.00,102681.77,2681.77,2.68,54,40.74,1.17,5.21,10.46,7
full_v02,完整多来源增强版,XLU,100000.00,98587.92,-1412.08,-1.41,83,37.35,0.94,6.00,11.77,9
full_v02,完整多来源增强版,XLC,100000.00,91550.86,-8449.14,-8.45,30,16.67,0.32,8.45,7.50,6
full_v02,完整多来源增强版,XLB,100000.00,93106.06,-6893.94,-6.89,52,25.00,0.61,9.20,9.79,16
full_v02,完整多来源增强版,SMH,100000.00,94123.06,-5876.94,-5.88,59,27.12,0.71,10.03,6.97,17
full_v02,完整多来源增强版,SOXX,100000.00,97768.84,-2231.16,-2.23,82,36.59,0.91,9.08,8.43,8
full_v02,完整多来源增强版,TQQQ,100000.00,90653.63,-9346.37,-9.35,91,28.57,0.70,12.91,8.45,9
