trade_id,session_key,split,direction,filter_state,breakout_timestamp,follow_through_timestamp,entry_timestamp,exit_timestamp,time_bucket,raw_entry_price,executed_entry_price,stop_price,target_price,exit_price,executed_exit_price,risk_per_share,quantity,pnl_per_share,pnl_cash,pnl_r,equity_after_close,exit_reason
PA-SC-002-2026-03-27-01,2026-03-27,validation,short,trend_supportive,2026-03-27T12:05:00-04:00,2026-03-27T12:15:00-04:00,2026-03-27T12:20:00-04:00,2026-03-27T12:35:00-04:00,midday_1100_1330,639.1700,639.0961,640.0699,638.2701,638.2701,638.3439,0.8999,38,0.7522,28.5836,0.8359,24801.4500,target_hit
PA-SC-002-2026-03-27-02,2026-03-27,validation,short,neutral,2026-03-27T13:15:00-04:00,2026-03-27T13:20:00-04:00,2026-03-27T13:25:00-04:00,2026-03-27T13:25:00-04:00,midday_1100_1330,637.5700,637.4962,638.4600,636.6800,636.6800,636.7537,0.8900,38,0.7425,28.2150,0.8343,24829.6650,target_hit
PA-SC-002-2026-03-27-03,2026-03-27,validation,short,neutral,2026-03-27T14:00:00-04:00,2026-03-27T14:05:00-04:00,2026-03-27T14:10:00-04:00,2026-03-27T14:20:00-04:00,late_1330_1600,635.4150,635.3415,636.3150,634.5150,636.3150,636.3886,0.9000,39,-1.0471,-40.8369,-1.1634,24788.8281,stop_hit
PA-SC-002-2026-03-27-04,2026-03-27,validation,short,neutral,2026-03-27T14:50:00-04:00,2026-03-27T15:00:00-04:00,2026-03-27T15:05:00-04:00,2026-03-27T15:45:00-04:00,late_1330_1600,634.7900,634.7165,635.8800,633.7000,633.7000,633.7734,1.0900,39,0.9431,36.7809,0.8652,24825.6090,target_hit
PA-SC-002-2026-03-30-01,2026-03-30,validation,long,neutral,2026-03-30T10:55:00-04:00,2026-03-30T11:00:00-04:00,2026-03-30T11:05:00-04:00,2026-03-30T11:15:00-04:00,open_0930_1100,638.3800,638.4538,635.8800,640.8800,635.8800,635.8064,2.5000,38,-2.6474,-100.6012,-1.0590,24725.0078,stop_hit
PA-SC-002-2026-03-30-02,2026-03-30,validation,short,neutral,2026-03-30T13:10:00-04:00,2026-03-30T13:15:00-04:00,2026-03-30T13:20:00-04:00,2026-03-30T14:25:00-04:00,midday_1100_1330,634.0850,634.0116,635.5200,632.6500,632.6500,632.7233,1.4350,38,1.2883,48.9554,0.8978,24773.9632,target_hit
PA-SC-002-2026-03-30-03,2026-03-30,validation,short,neutral,2026-03-30T14:50:00-04:00,2026-03-30T15:00:00-04:00,2026-03-30T15:05:00-04:00,2026-03-30T15:05:00-04:00,late_1330_1600,631.5100,631.4368,632.3200,630.7000,630.7000,630.7731,0.8100,39,0.6637,25.8843,0.8194,24799.8475,target_hit
PA-SC-002-2026-03-30-04,2026-03-30,validation,short,neutral,2026-03-30T15:10:00-04:00,2026-03-30T15:20:00-04:00,2026-03-30T15:25:00-04:00,2026-03-30T15:35:00-04:00,late_1330_1600,629.8601,629.7871,630.5500,629.1702,630.5500,630.6231,0.6899,39,-0.8360,-32.6040,-1.2118,24767.2435,stop_hit
PA-SC-002-2026-03-30-05,2026-03-30,validation,long,neutral,2026-03-30T15:40:00-04:00,2026-03-30T15:45:00-04:00,2026-03-30T15:50:00-04:00,2026-03-30T15:50:00-04:00,late_1330_1600,631.0900,631.1631,630.2000,631.9800,631.9800,631.9068,0.8900,39,0.7437,29.0043,0.8356,24796.2478,target_hit
PA-SC-002-2026-03-31-01,2026-03-31,validation,short,neutral,2026-03-31T10:40:00-04:00,2026-03-31T10:45:00-04:00,2026-03-31T10:50:00-04:00,2026-03-31T11:10:00-04:00,open_0930_1100,639.4100,639.3361,641.5200,637.3000,641.5200,641.5942,2.1100,38,-2.2581,-85.8078,-1.0702,24710.4400,stop_hit
