grain,strategy_id,timeframe,symbol,cost_tier,account_count,initial_capital,final_equity,net_profit,return_percent,trade_count,win_rate,profit_factor,max_drawdown,max_drawdown_percent,max_consecutive_losses,average_win,average_loss,average_holding_bars,best_symbol,worst_symbol,best_timeframe,worst_timeframe,quality_flag,status
strategy_timeframe_symbol,M10-PA-009,15m,TSLA,stress_low,1,100000.00,118252.08,18252.08,18.2521,226,0.3982,1.2584,5863.18,5.8632,8,987.62,-519.36,234.2478,TSLA,TSLA,15m,15m,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-009,1d,NVDA,baseline,1,100000.00,92781.55,-7218.45,-7.2185,80,0.2750,0.7525,11492.13,11.4921,10,997.63,-502.87,81.7904,NVDA,NVDA,1d,1d,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-009,1d,NVDA,stress_high,1,100000.00,92027.12,-7972.88,-7.9729,80,0.2750,0.7305,11796.44,11.7964,10,982.35,-510.08,81.7904,NVDA,NVDA,1d,1d,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-009,1d,NVDA,stress_low,1,100000.00,92592.38,-7407.62,-7.4076,80,0.2750,0.7469,11568.60,11.5686,10,993.80,-504.68,81.7904,NVDA,NVDA,1d,1d,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-009,1d,QQQ,baseline,1,100000.00,96913.40,-3086.60,-3.0866,61,0.3115,0.8489,7393.76,7.3938,9,912.56,-486.32,115.9067,QQQ,QQQ,1d,1d,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-009,1d,QQQ,stress_high,1,100000.00,95800.93,-4199.07,-4.1991,61,0.3115,0.8001,7960.88,7.9609,9,884.82,-500.25,115.9067,QQQ,QQQ,1d,1d,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-009,1d,QQQ,stress_low,1,100000.00,96634.11,-3365.89,-3.3659,61,0.3115,0.8364,7535.85,7.5359,9,905.59,-489.81,115.9067,QQQ,QQQ,1d,1d,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-009,1d,SPY,baseline,1,100000.00,98694.14,-1305.86,-1.3059,71,0.3380,0.9431,4756.89,4.7569,8,901.83,-488.29,95.5276,SPY,SPY,1d,1d,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-009,1d,SPY,stress_high,1,100000.00,96656.53,-3343.47,-3.3435,71,0.3380,0.8616,6209.67,6.2097,8,867.24,-513.98,95.5276,SPY,SPY,1d,1d,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-009,1d,SPY,stress_low,1,100000.00,98180.83,-1819.17,-1.8192,71,0.3380,0.9218,5103.83,5.1038,8,893.12,-494.77,95.5276,SPY,SPY,1d,1d,normal_density_review,completed_capital_test
